Item Name,Vendor Item Code,Packaging Information,Unit of Measure,Unit/Box,Item Color,Item Size,PCs in a Box,SF by PC/SHEET,SF By Box,Cost,Group,Finish
Chevron Glossy Mosaic Tile 11x13 Sheet,23CHEVMS1P2,8.80 SF/CTN,SF,8.80,"-",11x13,8.80,1.00,8.80,7.94,Group 2,Glossy
Chevron Matte Mosaic Tile 11x13 Sheet,23CHEVMS1P2,8.80 SF/CTN,SF,8.80,"-",11x13,8.80,1.00,8.80,7.94,Group 2,Matte
3D Cube Glossy Mosaic Tile 12x13 Sheet,23CUBEMS1P2,8.80 SF/CTN,SF,8.80,"Black, Matte Black",12x13,8.80,1.00,8.80,7.94,Group 2,Glossy
3D Cube Matte Mosaic Tile 12x13 Sheet,23CUBEMS1P2,8.80 SF/CTN,SF,8.80,"Black, Matte Black",12x13,8.80,1.00,8.80,7.94,Group 2,Matte
Harlequin Glossy Mosaic Tile 12x13 Sheet,23HARMS1P2,8.80 SF/CTN,SF,8.80,"Black, Matte Black",12x13,8.80,1.00,8.80,7.94,Group 2,Glossy
Harlequin Matte Mosaic Tile 12x13 Sheet,23HARMS1P2,8.80 SF/CTN,SF,8.80,"Black, Matte Black",12x13,8.80,1.00,8.80,7.94,Group 2,Matte
Arabesque Glossy Mosaic Tile 11x12 Sheet,33ARABMS1P2,7.40 SF/CTN,SF,7.40,"Spa, Waterfall, Peacock, Galaxy",11x12,7.40,1.00,7.40,8.04,Group 3,Glossy
Chevron Glossy Mosaic Tile 11x13 Sheet,23CHEVMS1P2,8.80 SF/CTN,SF,8.80,"Spa, Waterfall, Peacock, Galaxy",11x13,8.80,1.00,8.80,8.04,Group 3,Glossy
3D Cube Glossy Mosaic Tile 12x13 Sheet,23CUBEMS1P2,8.80 SF/CTN,SF,8.80,"Spa, Waterfall, Peacock, Galaxy",12x13,8.80,1.00,8.80,8.04,Group 3,Glossy
Harlequin Glossy Mosaic Tile 12x13 Sheet,23HARMS1P2,8.80 SF/CTN,SF,8.80,"Spa, Waterfall, Peacock, Galaxy",12x13,8.80,1.00,8.80,8.04,Group 3,Glossy
S1/212J, Jolly, Glossy Wall Tile Trim,S1/212J1P2,192.00 PC/CTN,PC,192.00,"Spa, Waterfall, Peacock, Galaxy",1/2x12,192.00,1.00,192.00,6.67,Group 3,Glossy
S1/212J, Jolly, Glossy Wall Tile Trim,S1/212JGL,192.00 PC/CTN,PC,192.00,"Spa, Waterfall, Peacock, Galaxy",1/2x12,192.00,1.00,192.00,6.67,Group 3,Glossy
"52420L65MSX Rigid Click Luxury Vinyl Tile","52420L65MSX","18.60 SF/CTN",SF,18.60,"Wilde, Mariner",5X24,,"",18.60,2.40,"ASHER BEND",""
"971GD12ML2M Glue Down Luxury Vinyl Tile","971GD12ML2M","53.04 SF/CTN",SF,53.04,"Wilde, Mariner",9X71,,"",53.04,1.26,"ASHER BEND",""
"971GD20ML3M Glue Down Luxury Vinyl Tile","971GD20ML3M","35.36 SF/CTN",SF,35.36,"Wilde, Mariner",9X71,,"",35.36,1.82,"ASHER BEND",""
"97120L65MSX Rigid Click Luxury Vinyl Tile","97120L65MSX","26.51 SF/CTN",SF,26.51,"Wilde, Mariner",9X71,,"",26.51,2.30,"ASHER BEND",""
"VRDSNSX Overlap Stair Nose Trim","VRDSNSX","5.00 PC/CTN",PC,5.00,"Picket Fence, Villa, Hearth, Manor, Lodge",1 3/4X94,5,"",,47.90,"ASHER BEND","Superguardx"
"VSLCAPSX End Cap Trim","VSLCAPSX","5.00 PC/CTN",PC,5.00,"Picket Fence, Villa, Hearth, Manor, Lodge",1 3/8X94,5,"",,39.81,"ASHER BEND","SuperGuardX"
"971VSCAPSX Stair Cap Trim","971VSCAPSX","6.00 PC/CTN",PC,6.00,"Picket Fence, Villa, Hearth, Manor, Lodge",2 3/4X46,6,"",,37.07,"ASHER BEND","Superguardx"
"EXTSNSX Overlap Stair Nose Trim","EXTSNSX","5.00 PC/CTN",PC,5.00,"Picket Fence, Villa, Hearth, Manor, Lodge",2X94,5,"",,37.76,"ASHER BEND","Superguardx"
"SLIMTSX 4-IN-1 Trim","SLIMTSX","5.00 PC/CTN",PC,5.00,"Picket Fence, Villa, Hearth, Manor, Lodge",2X94,5,"",,36.71,"ASHER BEND","Superguardx"
"VQRNDSX End Mold Trim","VQRNDSX","10.00 PC/CTN",PC,10.00,"Picket Fence, Villa, Hearth, Manor, Lodge",3/4X94,10,"",,12.57,"ASHER BEND","Superguardx"
"RNDSTRDSX Round Stair Tread Trim","RNDSTRDSX","2.00 PC/CTN",PC,2.00,"Picket Fence, Villa, Hearth, Manor, Lodge",12 1/5X50,2,"",,64.25,"ASHER BEND","SuperGuardX"
"RC96060 Rigid Click Luxury Vinyl Tile","RC96060","22.38 SF/CTN",SF,22.38,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",9X60,,"",22.38,2.09,"BELLAMY PLACE",""
"VRDSNST Overlap Stair Nose Trim","VRDSNST","5.00 PC/CTN",PC,5.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",1 3/4X94,5,"",,47.90,"BELLAMY PLACE","Superguard"
"VSLCAPST End Cap Trim","VSLCAPST","5.00 PC/CTN",PC,5.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",1 3/8X94,5,"",,39.81,"BELLAMY PLACE","SuperGuard"
"279V4IN1SX 4-IN-1 Trim","279V4IN1SX","3.00 PC/CTN",PC,3.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",2X79,3,"",,37.76,"BELLAMY PLACE","Superguard"
"279VSNPSX Overlap Stair Nose Trim","279VSNPSX","10.00 PC/CTN",PC,10.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",2X79,10,"",,36.70,"BELLAMY PLACE","Superguard"
"VQRNDST End Mold Trim","VQRNDST","10.00 PC/CTN",PC,10.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",3/4X94,10,"",,12.57,"BELLAMY PLACE","Superguard"
"346VSCAPSX Stair Cap Trim","346VSCAPSX","6.00 PC/CTN",PC,6.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",3X46,6,"",,43.52,"BELLAMY PLACE","Superguard"
"RNDSTRDST Round Stair Tread Trim","RNDSTRDST","2.00 PC/CTN",PC,2.00,"Whitelock, Garden, Courtyard, Acre, Saddle, Barrel",12 1/5X50,2,"",,64.25,"BELLAMY PLACE","SuperGuard"
"1818GD1P Glue Down Luxury Vinyl Tile","1818GD1P","36.00 SF/CTN",SF,36.00,"Woven White, Woven Grey",18X18,,"",36.00,2.66,"BELLANT",""
"648GD1P Glue Down Luxury Vinyl Tile","648GD1P","54.00 SF/CTN",SF,54.00,"Cafe",6X48,,"",54.00,1.46,"CYROSE",""
"VSLCAPSX End Cap Trim","VSLCAPSX","5.00 PC/CTN",PC,5.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",1 3/8X94,5,"",,71.57,"CYROSE","Enhanced Urethane"
"VRDSNSX Overlap Stair Nose Trim","VRDSNSX","5.00 PC/CTN",PC,5.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",2 1/2X94,5,"",,86.10,"CYROSE","Enhanced Urethane"
"EXTSNSX Overlap Stair Nose Trim","EXTSNSX","5.00 PC/CTN",PC,5.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",2X94,5,"",,97.94,"CYROSE","Enhanced Urethane"
"SLIMTSX 4-IN-1 Trim","SLIMTSX","5.00 PC/CTN",PC,5.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",2X94,5,"",,71.57,"CYROSE","Enhanced Urethane"
"VQRNDSX End Mold Trim","VQRNDSX","10.00 PC/CTN",PC,10.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",3/4X94,10,"",,22.60,"CYROSE","Enhanced Urethane"
"RNDSTRDEU Round Stair Tread Trim","RNDSTRDEU","2.00 PC/CTN",PC,2.00,"White Ash, Coastal Grey, Honey Maple, Early American, Barnwood",12 1/5X50,2,"",,64.25,"CYROSE","Enhanced Urethane"
"747GD1P Glue Down Luxury Vinyl Tile","747GD1P","34.88 SF/CTN",SF,34.88,"",7X47,,"",34.88,2.70,"ELIXEN",""
